,sharpe,treynor,lifetime,information-ratio,standard_deviation,downside_deviation,variacao,equity,captacao_liquida,cotistas
2005-08-02,-11.223534729637763,-0.2279884971291985,154.0,4.113437042978333,0.010106603809604493,0.010500681329828133,1.3892657305185317e+297,495851031.11,-16832684.69,565.0
2005-08-03,-10.045959712105402,-0.20567540638896653,155.0,5.931957027689955,0.010137724887271939,0.010572502383491618,1.2142929367603498e+299,502337506.74,-17179857.23,564.0
2005-08-04,-10.789104212439756,-0.2196867618893137,156.0,6.145905548073738,0.010121379278947767,0.010497715251636914,1.0535103543497682e+301,498580582.16,-17179857.23,564.0
2005-08-05,-10.717324455517161,-0.2175411711409607,157.0,6.547980874724972,0.010090455696805258,0.010508904273867555,9.157334499709408e+302,499527939.77,-17179857.23,564.0
2005-08-08,-10.241180969635009,-0.2058193289085422,160.0,6.332369116298901,0.010014321213710105,0.010566733961243868,inf,502981000.78,-17209731.54,563.0
2005-08-09,-10.208891459799993,-0.2064803648819437,161.0,4.2740619500132935,0.009983835135142742,0.010574893196329867,inf,503082276.27,-17821975.11,562.0
2005-08-10,-9.844206212883751,-0.21033966914996924,162.0,4.949200260338346,0.009961300767024726,0.0106005200120174,inf,505603231.89,-17821975.11,562.0
2005-08-11,-10.551395637864198,-0.22506316864415843,163.0,5.363041211628158,0.009944374765310028,0.010525418097179532,inf,502113769.49,-17821975.11,562.0
2005-08-12,-12.374589275266818,-0.26007565840759733,164.0,1.9005273473548476,0.01004461843227201,0.01062221489170283,inf,491603873.31,-17821975.11,562.0
2005-08-15,-10.192910020474098,-0.21720271014646708,167.0,2.7756577497996937,0.01035391325749665,0.011118071511054258,inf,497714156.56,-22582343.22,561.0
2005-08-16,-9.941819507902386,-0.21239396134688646,168.0,4.1183123447434955,0.010328389276239733,0.011138977479544518,inf,499654767.93,-22582343.22,561.0
2005-08-17,-9.963960075752528,-0.2248855973642811,169.0,3.678097583432784,0.010298047748480811,0.011144881312352068,inf,500049785.57,-22582343.22,561.0
2005-08-18,-10.449732286641375,-0.2362011746829878,170.0,4.639688551187685,0.010272394506437492,0.01106197351996976,inf,497767582.65,-22582343.22,561.0
2005-08-19,-11.713466596633973,-0.25000493588473044,171.0,3.8146781610367637,0.010295281717191162,0.011035507978263862,inf,490733891.11,-22582343.22,561.0
2005-08-22,-10.08772442664497,-0.2143681668460075,174.0,3.827861071468209,0.010409945234032792,0.011139975616525574,inf,498811488.6,-23538220.72,560.0
2005-08-23,-10.837897537833047,-0.22977393470839705,175.0,4.706655992384745,0.01039436378627747,0.011136295982718258,inf,494908267.99,-23538220.72,560.0
2005-08-24,-11.085139250994757,-0.23458625508667877,176.0,4.206378663307461,0.010365005646079398,0.011060939960619142,inf,494008229.68,-23538220.72,560.0
2005-08-25,-10.474166915749256,-0.2218089424923356,177.0,3.2072655329147177,0.010355797461823196,0.01103088533324168,inf,497947584.59,-23538220.72,560.0
2005-08-26,-10.38466058706237,-0.22027453950797957,178.0,4.606015269626449,0.010328432789764766,0.01097460105269749,inf,498977803.12,-23538220.72,560.0
2005-08-29,-10.451857366189524,-0.23217407862176476,181.0,3.8205510798404543,0.010246327076279635,0.011004679613986969,inf,496105924.39,-26849819.0,560.0
2005-08-30,-10.223634318939366,-0.22653670552758556,182.0,3.7860257796753927,0.010222598205948464,0.011023004977328986,inf,497331577.74,-27408130.37,560.0
2005-08-31,-9.440981551179886,-0.20902668695152432,183.0,3.4647454142104173,0.01022215631089464,0.01106780750347272,inf,501231338.6,-28294780.82,560.0
2005-09-01,-8.76469958880497,-0.1916234280223257,184.0,4.348999659281437,0.01021525463786835,0.01110686064127035,inf,505456684.87,-28294780.82,560.0
2005-09-02,-8.047483509667135,-0.17541298893753596,185.0,4.317755666168638,0.010209988027947689,0.010946341817471106,inf,509906931.76,-28294780.82,560.0
2005-09-05,-7.126836801565009,-0.14807606411645585,188.0,4.800545115452349,0.0102046949435289,0.01107249046203738,inf,515429243.55,-28376441.39,559.0
2005-09-06,-6.652238394880694,-0.13893458122120975,189.0,4.058950183996625,0.010187707290605079,0.011099055388892406,inf,518538539.65,-28387484.0,559.0
2005-09-08,-5.730964595696162,-0.11924398365300569,191.0,5.1958915574351066,0.010175113549543344,0.011105771001425757,inf,524166023.9,-28398526.61,559.0
2005-09-09,-5.010787597216707,-0.10440184599838236,192.0,4.342520733662185,0.01016746344413513,0.01114172173329277,inf,528636571.71,-28398526.61,559.0
2005-09-12,-4.852570960704738,-0.10120920432815664,195.0,4.922712061356744,0.010127260315074538,0.011157825986196359,inf,529009063.85,-29403802.63,559.0
2005-09-13,-5.470500494008641,-0.11418063651458635,196.0,5.515537461539588,0.010109861066887339,0.011151590630670189,inf,525943365.06,-29414021.15,559.0
