,sharpe,treynor,lifetime,information-ratio,standard_deviation,downside_deviation,variacao,equity,captacao_liquida,cotistas
2014-06-18,5.039022372679107,0.49565426173724275,205.0,8.488703065073322,0.01761372990601666,0.01067463272364872,2.0428303643304094e+66,4410989.0,4772668.640000001,2.0
2014-06-20,5.069289269253627,0.49705583386860264,207.0,9.183610873254574,0.0175359477727298,0.010594027603815845,9.444622978208183e+66,4413348.48,5777855.640000001,2.0
2014-06-23,4.978245869626697,0.4946372776844961,210.0,9.591667667050276,0.01741427632902373,0.010473896956744638,9.384779029034336e+67,4406220.71,5777855.640000001,2.0
2014-06-24,5.089242366601256,0.4803513672263278,211.0,9.669787170610741,0.017372901015859702,0.010437593162166917,2.0185952172961855e+68,4414999.49,5777855.640000001,2.0
2014-06-25,5.128837766814355,0.5381171739356614,212.0,10.628813054131522,0.017332307686078192,0.010399609293555195,4.343816562046075e+68,4418744.01,5777855.640000001,2.0
2014-06-26,5.037930391024394,0.4851136050207556,213.0,10.52680383984863,0.017293771581628457,0.01036036798970454,9.341370045315598e+68,4413364.08,5777855.640000001,2.0
2014-06-27,5.216087170821197,0.5324779818154368,214.0,11.172373162686679,0.01725312914169669,0.010360604885225826,2.0121337700514427e+69,4426807.77,5777855.640000001,2.0
2014-06-30,5.1460891809316385,0.5304454413611058,217.0,11.188242909454676,0.017135290394652582,0.010322372811883564,2.0095699387697826e+70,4421243.71,5777855.640000001,2.0
2014-07-01,6.174518043280811,0.6359029700722799,218.0,12.469802760230333,0.01712047638681975,0.010358694460581191,4.363962746969649e+70,4494274.33,5777855.640000001,2.0
2014-07-02,6.183600059195143,0.6978569249292658,219.0,12.849567394244815,0.01708211688506955,0.010321113850466258,9.47844286193706e+70,4495771.63,5777855.640000001,2.0
2014-07-03,6.182688840962689,0.6913899807340638,220.0,12.056327478261537,0.017044124924254972,0.01028375626318246,2.058900429728236e+71,4496584.82,5777855.640000001,2.0
2014-07-04,6.170954447703829,0.689229212335303,221.0,11.899076379849703,0.01700651106375541,0.010246621711689158,4.472368261438839e+71,4496658.96,5777855.640000001,2.0
2014-07-07,5.882495732095046,0.6400184979603373,224.0,11.875075553842366,0.016901506056561558,0.010139893788909038,4.572637963758537e+72,4476013.23,5777855.640000001,2.0
2014-07-08,4.971410597040742,0.5408318326912881,225.0,11.132242829763491,0.016899626715863147,0.010436540220811388,9.83552760845789e+72,4415106.94,5777855.640000001,2.0
2014-07-10,1.3633873047299836,0.157096268461367,227.0,5.942962282923808,0.017263293289607743,0.011389643946922653,4.417188944980496e+73,4171960.83,5777855.640000001,2.0
2014-07-11,4.103276155093548,0.47353002323377447,228.0,8.538139214069293,0.017480290998996905,0.011391297484705524,9.449320206000049e+73,4370083.82,5777855.640000001,2.0
2014-07-14,3.144274572156464,0.3866513507197043,231.0,6.671067085914518,0.017891283460906005,0.011132334507933071,9.181370066389498e+74,4308774.94,5777855.640000001,2.0
2014-07-15,3.2961716628988853,0.3825185899332681,232.0,6.728784289298729,0.017852521391781832,0.011099407039034634,1.95236762672948e+75,4321093.68,5777855.640000001,2.0
2014-07-16,5.003407231748189,0.582099078627125,233.0,8.852338767294677,0.017897315635138498,0.01113181765113218,4.216266765709352e+75,4448148.29,5777855.640000001,2.0
2014-07-17,4.971698298559399,0.5956261487783107,234.0,9.008424382862358,0.017860308803274376,0.011094386929480168,9.103924388398084e+75,4446890.93,5777855.640000001,2.0
2014-07-18,5.023296735096742,0.5732549054813124,235.0,7.892470576950569,0.01782262787620892,0.011058673391600965,1.9668935416948323e+76,4451691.84,5777855.640000001,2.0
